subject,fid,Qtype,response
seph1603,27799972,6,5
seph1603,10576511,2,5
seph1603,10576511,4,5
seph1603,10576511,6,5
seph1603,7349067,1,5
seph1603,7349067,4,5
seph1603,7349067,6,5
seph1603,47632533,3,1
seph1603,47632533,4,5
seph1603,47632533,5,3
seph1603,47632533,6,5
seph1603,47632544,1,5
seph1603,47632544,4,5
seph1603,47632544,6,5
seph1603,34090221,2,5
seph1603,34090221,4,5
seph1603,34090221,5,5
seph1603,44520094,4,5
seph1603,44520094,5,5
seph1603,44520094,6,5
seph1603,27799536,3,5
seph1603,27799536,5,5
seph1603,27799536,6,5
seph1603,6316602,1,5
seph1603,6316602,4,5
seph1603,6316602,6,5
seph1603,44820972,1,5
seph1603,44820972,2,5
seph1603,44820972,3,5
seph1603,27804446,2,5
seph1603,27804446,4,5
seph1603,27804446,6,5
seph1603,8867848,1,5
seph1603,8867848,3,5
seph1603,8867848,4,5
seph1603,10578378,1,5
seph1603,10578378,2,5
seph1603,10578378,6,5
contact,27802284,2,5
contact,27802284,2,5
contact,27802284,2,2
contact,6316124,3,5
contact,6316124,4,5
contact,6316124,5,5
contact,27798255,1,5
contact,27798255,1,5
contact,27798255,1,5
contact,27798255,4,5
contact,27798255,5,5
contact,27798255,6,5
contact,32134448,2,5
contact,32134448,3,5
contact,32134448,5,5
contact,27804279,1,5
contact,27804279,4,5
contact,27804279,5,5
contact,27805178,1,5
contact,27805178,1,5
contact,27805178,3,5
contact,27805178,3,5
contact,27805178,3,5
contact,27805178,3,5
contact,27805178,5,5
contact,27805178,5,5
contact,10577247,2,5
contact,10577247,5,5
contact,10577247,5,5
contact,8867670,2,5
contact,8867670,2,1
contact,8867670,2,2
contact,8867670,2,5
contact,8867670,2,2
contact,8867670,2,5
contact,8867670,3,5
contact,8867670,6,5
contact,44520272,1,5
contact,44520272,1,5
contact,44520272,3,5
contact,44520272,3,5
contact,44520272,5,2
contact,44520272,5,2
contact,44520272,5,5
contact,4661268,1,5
contact,4661268,1,5
contact,4661268,3,5
contact,4661268,5,2
contact,4661268,5,5
romulodiniz,44520148,2,5
romulodiniz,44520148,2,5
romulodiniz,44520148,3,5
romulodiniz,44520148,6,5
romulodiniz,27800619,2,5
romulodiniz,27800619,3,5
romulodiniz,27800619,3,3
romulodiniz,27800619,3,3
romulodiniz,27800619,3,5
romulodiniz,27800619,5,5
romulodiniz,27800619,5,3
romulodiniz,27800619,5,5
romulodiniz,27800619,5,5
romulodiniz,47632544,1,5
romulodiniz,47632544,4,5
romulodiniz,47632544,5,5
romulodiniz,32134598,1,3
romulodiniz,32134598,1,5
romulodiniz,32134598,2,5
romulodiniz,32134598,2,3
romulodiniz,32134598,2,5
romulodiniz,32134598,2,5
romulodiniz,32134598,2,5
romulodiniz,32134598,5,5
